iter	Passed	Remaining
837	3434	78534
838	3439	78549
839	3442	78521
840	3449	78584
841	3454	78606
842	3458	78594
843	3463	78603
844	3467	78601
845	3472	78608
846	3477	78630
847	3481	78629
848	3486	78635
849	3490	78635
850	3493	78619
851	3497	78607
852	3500	78581
853	3505	78587
854	3509	78576
855	3512	78561
856	3516	78544
857	3521	78564
858	3526	78582
859	3531	78588
860	3536	78614
861	3540	78616
862	3544	78599
863	3548	78590
864	3554	78620
865	3558	78617
866	3561	78605
867	3567	78643
868	3572	78638
869	3577	78657
870	3581	78651
871	3585	78655
872	3591	78685
873	3595	78679
874	3601	78717
875	3605	78704
876	3608	78687
877	3612	78679
878	3617	78687
879	3620	78665
880	3624	78646
881	3627	78629
882	3632	78645
883	3637	78666
884	3641	78644
885	3644	78627
886	3649	78644
887	3653	78641
888	3657	78628
889	3662	78646
890	3667	78649
891	3671	78645
892	3684	78837
893	3692	78905
894	3702	79027
895	3714	79200
896	3739	79631
897	3757	79923
898	3796	80666
899	3830	81295
900	3835	81301
901	3838	81274
902	3843	81291
903	3847	81281
904	3852	81295
905	3858	81317
906	3862	81310
907	3865	81283
908	3869	81258
909	3873	81255
910	3878	81263
911	3882	81252
912	3886	81249
913	3897	81393
914	3911	81582
915	3917	81627
916	3924	81668
917	3929	81682
918	3935	81721
919	3944	81803
920	3950	81842
921	3957	81890
922	3962	81909
923	3967	81901
924	3974	81970
925	3979	81978
926	3985	81993
927	3995	82116
928	4001	82136
929	4008	82205
930	4013	82199
931	4017	82190
932	4022	82209
933	4026	82203
934	4032	82221
935	4037	82229
936	4041	82215
937	4044	82198
938	4048	82175
939	4053	82195
940	4058	82196
941	4061	82178
942	4065	82161
943	4072	82213
944	4076	82205
945	4079	82177
946	4084	82179
947	4088	82173
948	4092	82159
949	4095	82130
950	4102	82172
951	4105	82141
952	4108	82110
953	4111	82090
954	4117	82119
955	4121	82101
956	4124	82072
957	4128	82052
958	4134	82094
959	4138	82071
960	4141	82046
961	4144	82028
962	4149	82031
963	4153	82015
964	4156	81991
965	4159	81953
966	4165	81987
967	4169	81980
968	4172	81948
969	4175	81918
970	4181	81944
971	4185	81928
972	4188	81905
973	4191	81872
974	4195	81875
975	4200	81875
976	4204	81857
977	4207	81836
978	4212	81845
979	4216	81841
980	4220	81820
981	4223	81795
982	4227	81789
983	4232	81791
984	4236	81777
985	4239	81755
986	4243	81736
987	4246	81712
988	4251	81730
989	4254	81704
990	4260	81724
991	4263	81695
992	4266	81670
993	4270	81649
994	4275	81661
995	4279	81648
996	4282	81628
997	4285	81601
998	4289	81583
999	4294	81604
1000	4299	81601
1001	4302	81580
1002	4307	81584
1003	4311	81565
1004	4313	81536
1005	4316	81502
1006	4319	81464
1007	4323	81452
1008	4327	81454
1009	4331	81432
1010	4334	81403
1011	4341	81451
1012	4345	81446
1013	4348	81418
1014	4350	81380
1015	4357	81421
1016	4360	81395
1017	4363	81361
1018	4366	81328
1019	4370	81324
1020	4373	81302
1021	4376	81268
1022	4379	81235
1023	4381	81201
1024	4384	81175
1025	4388	81164
1026	4391	81135
1027	4394	81100
1028	4397	81069
1029	4399	81035
1030	4404	81029
1031	4407	81008
1032	4409	80972
1033	4412	80936
1034	4414	80898
1035	4420	80913
1036	4424	80905
1037	4427	80873
1038	4429	80839
1039	4434	80839
1040	4439	80861
1041	4442	80834
1042	4445	80800
1043	4448	80772
1044	4453	80788
1045	4457	80775
1046	4460	80745
1047	4463	80712
1048	4468	80719
1049	4471	80703
1050	4474	80667
1051	4476	80632
1052	4479	80602
1053	4485	80629
1054	4489	80613
1055	4492	80590
1056	4495	80566
1057	4499	80560
1058	4503	80551
1059	4506	80528
1060	4510	80513
1061	4515	80521
1062	4519	80520
1063	4525	80545
1064	4532	80579
